Count,City,Country,Date,latitude,longitude
1,Ogden,United States,1981-07-17,41.223,-111.97383
2,Okinawa,Japan,1988-12-24,26.212401,127.680932
1,Olivos,Argentina,1978-09-01,-34.510551,-58.496391
1,Oporto,Portugal,1976-01-16,41.157944,-8.629105
7,Orito,Colombia,2006-01-09,0.67688,-76.880163
2,Ortakoy,Turkey,1999-04-03,38.7366,34.0408
3,Oruro,Bolivia,2004-01-05,-17.964677,-67.106035
4,Osaka,Japan,2001-02-05,34.693738,135.502165
10,Oslo,Norway,2006-09-17,59.913869,10.752245
3,Osnabrueck,Federal Republic of Germany,1996-06-28,52.279911,8.047179
13,Ottawa,Canada,1992-05-26,45.42153,-75.697193
2,Palermo,Italy,1971-07-21,38.115688,13.361267
14,Panama City,Panama,1992-09-18,9.101179,-79.402864
314,Paris,France,2006-06-17,48.856614,2.352222
2,Penang,Malaysia,2006-01-15,5.414921,100.329761
1,Penhalonga,Zimbabwe (Rhodesia),1978-08-02,-18.883389,32.670833
88,Peshawar,Pakistan,2009-10-09,34.014975,71.58049
2,Petach Tikva,Israel,2006-02-05,32.084041,34.887762
3,Petah Tikva,Israel,2003-12-13,32.084041,34.887762
2,Philadelphia,United States,1989-03-13,39.952584,-75.165222
25,Phnom Penh,Cambodia,2007-07-29,11.544873,104.892167
7,Piraeus,Greece,2002-10-12,37.942986,23.646983
1,Pittsburgh,United States,1977-06-25,40.440625,-79.995886
2,Point-a-Pitre,Guadeloupe,1985-01-10,16.288867,-61.491708
1,Port Elizabeth,United States,1976-09-16,43.936887,-83.204517
2,Port of Spain,Trinidad-Tobago,2007-03-07,10.654901,-61.501926
13,Port-au-Prince,Haiti,2005-07-18,18.594395,-72.307433
2,Porto Alegre,Brazil,1972-01-11,-30.034647,-51.217658
1,Qiryat Arba,Israel,1978-12-12,31.529326,35.115625
1,Qiryat Gat,Israel,1979-11-07,31.611148,34.768459
8,Qiryat Shemona,Israel,2008-06-22,33.207933,35.570246
1,Quebec,Canada,1968-05-24,52.939916,-73.549136
1,Queens,United States,1972-12-01,40.728224,-73.794852
3,Quezon City,Philippines,2006-06-11,14.676041,121.0437
36,Quito,Ecuador,2005-11-16,-0.180653,-78.467838
3,Rabat,Morocco,1995-02-28,33.97159,-6.849813
